Site No,Site Name,Street Address,"City, State Zip",County,Enf. Issue,Resolved Date,Violation(SNC) Date
103170,John Carbone,874 Seneca Park Rd,"Middle River,MD,21220",Baltimore,Environmental/Health Impact,03/23/2018,11/06/2009
103186,Greensboro Regional WWTP,near MD Rte 313 & MD Rte 480,"Greensboro,MD,21639",Caroline,Environmental/Health Impact,02/13/2020,12/31/2017
103606,"Remmers, Jerome",12015 Woodbury Road,"Nanjemoy,MD,20662",Charles,Environmental/Health Impact,07/11/2012,04/20/2012
103631,Martin Fisher,940 Old Country Road,"Severna Park,MD,21146",Anne Arundel,Environmental/Health Impact,01/26/2017,03/16/2012
104082,Michael Satrom,7578 Beach Drive,"Pasadena,MD,21122",Anne Arundel,Environmental/Health Impact,09/27/2012,07/19/2012
104312,Solomons Beacon Inn/bulkhead,255 Lore Road,"Solomons,MD,20688",Calvert,Environmental/Health Impact,09/17/2013,08/23/2012
104961,Adkins Arboretum Parking Lot Alive,"38.927461 -75.944091, Tuckahoe State Park","Ridgely,MD,21660",Caroline,Environmental/Health Impact,10/14/2015,07/23/2015
105154,Victoria Station/lake Victoria/embnkment,LAKE SHORE DRIVE; VICTORIA STATION COMM,"Owings,MD",Calvert,Environmental/Health Impact,09/13/2012,12/07/2011
105185,"Nova Services, Inc",701 Pittman Rd,"Curtis Bay,MD,21226",Anne Arundel,Environmental/Health Impact,12/05/2016,11/09/2014
105512,Town Of Chesapeake Beach-Fishing Creek,Fishing Creek Channel,"Chesapeake Beach,MD,20732",Calvert,,,09/08/2017
105512,Town Of Chesapeake Beach-Fishing Creek,Fishing Creek Channel,"Chesapeake Beach,MD,20732",Calvert,,02/09/2018,09/08/2017
105542,Construct water transmission main & an access rd near Rte 50,38.946636 -76.824510,"Bowie,MD,20720",Prince George's,Environmental/Health Impact,01/22/2019,07/31/2017
106206,Candlewood Suites Hotel,corner of Cooper Ave & Mapes Rd,"Fort George G. Meade,MD,20755",Anne Arundel,Environmental/Health Impact,12/10/2014,08/06/2014
106270,Fr Comm/landfill Leachate Sewer/utility,TABLER RD,"Frederick,MD",Frederick,Environmental/Health Impact,06/27/2013,02/21/2013
106526,"Daley, Thomas/marsh Creation",1004 S TALBOT ST,"Saint Michaels,MD,21663",Talbot,Environmental/Health Impact,,09/04/2008
107215,"Bldgs 9701, 9703, & 9705 Secondary Unit Substation Replacement",39.097806 -76.763167,"Fort George G. Meade,MD,20755",Anne Arundel,Environmental/Health Impact,02/22/2018,03/08/2016
107326,"City Of Frederick/Monocacy Blvd, Central",Gas House Pike,"Frederick,MD",Frederick,Environmental/Health Impact,01/25/2018,07/12/2017
108026,The Global Mission Church Of Greater,MD 109,"Hyattstown,MD,20871",Montgomery,Environmental/Health Impact,11/12/2013,06/21/2013
108827,"Construction Trades Services, Inc",603 E Church St,"Frederick,MD,21701",Frederick,Environmental/Health Impact,12/12/2012,07/16/2008
109076,Earl Mitchell,3736 Chestnut Rd,"Middle River,MD,21220",Baltimore,Environmental/Health Impact,07/11/2016,10/20/2009
109495,VOB Limited Partnership-Beech Tree,Intersect of Leeland Road and US 301,"Upper Marlboro,MD,20772",Prince George's,Environmental/Health Impact,02/14/2013,04/19/2010
109668,Ignacio Rodriguez,1290 Turkey Point Road,"Edgewater,MD,21037",Anne Arundel,Environmental/Health Impact,03/19/2019,03/06/2018
110684,MD DNR-Patapsco Valley State Park Hilton Area - Waterline Replacement,"1101 Hilton Ave, 39.248613 -76.744142","Catonsville,MD,21228",Baltimore,Environmental/Health Impact,05/13/2015,01/13/2015
111958,"Mona, Scott/port Tobacco Marina/dredging",7610 Shirley Boulevard,"Port Tobacco,MD,20677",Charles,Environmental/Health Impact,12/21/2012,03/17/2010
111958,"Mona, Scott/port Tobacco Marina/dredging",7610 Shirley Boulevard,"Port Tobacco,MD,20677",Charles,Environmental/Health Impact,12/21/2012,03/17/2010
112156,Lisa Ugone,998 Forest Dr,"Arnold,MD,21012",Anne Arundel,Environmental/Health Impact,09/16/2013,07/28/2010
112589,MD & VA Milk Producers Coop,8321 Leishear Road,"Laurel,MD,20723",Howard,Environmental/Health Impact,03/26/2013,05/29/2012
113147,"Eddins, Arlie/boathouse And Pilings",11815 Hilltop Rd,"Lusby,MD,20657",Calvert,Environmental/Health Impact,07/12/2012,03/26/2012
113147,"Eddins, Arlie/boathouse And Pilings",11815 Hilltop Rd,"Lusby,MD,20657",Calvert,Environmental/Health Impact,06/28/2012,02/26/2012
113413,"Runway 15R-33L, RSA, Pavement Rehab & Standards Compliance",39.1779633 -76.6750929,"BWI Airport,MD,21240",Anne Arundel,Environmental/Health Impact,02/26/2015,10/22/2014
113856,White Hall Yacht Yard/boat Ramp,WHITE HALL YACHT YARD INC,"Annapolis,MD",Anne Arundel,Environmental/Health Impact,01/27/2014,06/10/2013
114216,Gatewater Landing Property Owners,GATEWATER CT,"Glen Burnie,MD,21060",Anne Arundel,Environmental/Health Impact,05/09/2017,04/20/2017
114670,"Price, Robert R/lot 10d Sayers Forest",LOT 10D; SAYERS FOREST SUBDIVISION,"Queenstown,MD",Queen Anne's,Environmental/Health Impact,11/20/2013,12/04/2009
114848,"Pearce, Douglas/rd Xing",7946 Solley Rd,"Glen Burnie,MD,21060",Anne Arundel,Environmental/Health Impact,,02/06/2008
114869,Beaver Run Mobile Home Park,3658 Karen Circle,"Linkwood,MD,21835",Dorchester,Environmental/Health Impact,,04/30/2018
115317,Hubert Bishop,1737 St. Margarets Road,"Annapolis,MD,21409",Anne Arundel,Environmental/Health Impact,,05/27/2009
115660,"Doerfer, Dan/bulkhead, Pier And Pilings",1914 Wilson Point Rd,"Middle River,MD,21220",Baltimore,Environmental/Health Impact,02/25/2013,02/26/2010
115910,Garrity Renewables,328 Bush Chapel Rd.,"Aberdeen,MD,21001",Harford,Environmental/Health Impact,,03/04/2020
116019,Oakland Commercial Properties LLC,west side of Garrett Hwy,"Oakland,MD,21550",Garrett,Environmental/Health Impact,02/14/2017,10/20/2014
116515,Winchester Homes - Poplar Run,13501 LAYHILL RD,"Silver Spring,MD",Montgomery,Environmental/Health Impact,12/14/2015,08/20/2015
116973,Towne Place Suites Marriotts @ Arundel Mills,7021 Arundel Mills Circle,"Hanover,MD,21076",Anne Arundel,Environmental/Health Impact,09/17/2015,02/23/2015
117643,Angler Marina,312 Talbot St,"Ocean City,MD,21842",Worcester,Environmental/Health Impact,02/01/2017,01/17/2014
117728,Allan Myers,2104 Riverview Park Drive,"Pocomoke City,MD,21851",Worcester,Environmental/Health Impact,09/25/2015,06/10/2008
118465,Baltimore Packaging,2301 Grays Road,"Baltimore,MD,21222",Baltimore,Environmental/Health Impact,10/25/2015,03/12/2015
118803,"Lavato, Domenic/revetment",6221 Ray Norwood Rd,"Prince Frederick,MD,20678",Calvert,Environmental/Health Impact,10/26/2017,07/06/2012
118854,Maryland State Highway Administration - Centreville,111 Safety Drive,"Centreville,MD,21617",Queen Anne's,Environmental/Health Impact,11/02/2016,11/02/2016
121360,Anne Arundel Hall Replacement & Mill Field Parking Lot,"St. Mary's College of MD, 38.187015, -76.432583","Saint Marys City,MD,20686",St. Mary's,Environmental/Health Impact,02/17/2017,02/06/2017
121878,Town of Elkton-Meadow Park East,"MEADOW PARK EAST, SE side of MD 281 and MD 7 D","Elkton,MD,21921",Cecil,Environmental/Health Impact,10/10/2013,07/08/2008
122010,"Mapes Road Installation of 20""Waterline","39.103968, -76.737524","Fort George G. Meade,MD,20755",Anne Arundel,,06/30/2015,03/09/2015
122569,"Grasso, John J.",6 Leymar Road,"Glen Burnie,MD,21061",Anne Arundel,Environmental/Health Impact,09/30/2013,03/22/2011
123036,"Gribble, Michael/pier And Pilings",417 Overlook Dr,"Lusby,MD,20657",Calvert,Environmental/Health Impact,10/12/2017,08/30/2011
123524,Greenland Beach Yacht Basin,430 Greenland Beach Rd,"Baltimore,MD,21226",Anne Arundel,,03/06/2014,09/06/2013
124515,Herrington Partnership,7149 Lake Shore Dr,"North Beach,MD,20714",Calvert,Environmental/Health Impact,03/20/2015,12/17/2014
124866,"Berger, Ingor/revetment",338 Hunner Rd,"Pasadena,MD,21122",Anne Arundel,Environmental/Health Impact,07/28/2016,08/11/2010
125437,Grayson Wilbur,2375 Cape Leonard Drive,"Saint Leonard,MD,20685",Calvert,Environmental/Health Impact,04/26/2013,01/18/2013
125561,Rock Creek Management Co-Fairview Marina,1575 Fairview Beach Blvd,"Pasadena,MD,21122",Anne Arundel,Environmental/Health Impact,09/05/2012,07/26/2012
125561,Rock Creek Management Co-Fairview Marina,1575 Fairview Beach Blvd,"Pasadena,MD,21122",Anne Arundel,Environmental/Health Impact,11/13/2012,07/26/2012
125704,Matt Zabel,14913 Potomac River Dr,"Cobb Island,MD,20625",Charles,Environmental/Health Impact,05/02/2016,09/20/2012
125720,James Potter,7668 Water Oak Point Road,"Pasadena,MD,21122",Anne Arundel,Environmental/Health Impact,12/20/2012,10/24/2012
126042,"Young, Francis/pier And Pilings",5269 Silver Run Lane,"Salisbury,MD,21801",Wicomico,Environmental/Health Impact,11/13/2013,08/01/2012
126347,UMBC Community Center,"39.258443,-76.712637","Catonsville,MD,21228",Baltimore,Environmental/Health Impact,12/17/2012,10/11/2012
126391,DD Land Holding LLC-Windsor Manor,Creedon Road,"Bryans Road,MD,20616",Charles,,10/14/2015,08/12/2015
126393,Bc Rec And Parks/jones Falls Trail:clipper,CLIPPER RD TO CYLBURN ARBORETUM,"Baltimore City,MD",Baltimore City,,12/26/2012,07/24/2012
126430,Darryl Ritter,23209 Gilpin Point Rd,"Preston,MD,21655",Caroline,Environmental/Health Impact,11/07/2019,02/01/2017
126488,Liberty Yacht Club Inc,64 Old South River Rd,"Edgewater,MD,21037",Anne Arundel,Environmental/Health Impact,09/09/2011,02/06/2006
126845,Tim Starkey,8802 Hinton Ave,"Sparrows Point,MD,21219",Baltimore,Environmental/Health Impact,09/16/2013,06/21/2010
127313,Fort Meade Shopping Center,"2790 MacArthur Rd, 39.109409 -76.757770","Fort George G. Meade,MD,20755",Anne Arundel,Environmental/Health Impact,11/03/2014,07/29/2014
127374,Level 3 Communications Llc/i-95 Express,I-895 & I-95,"Baltimore County,MD",Baltimore,Environmental/Health Impact,11/30/2012,11/29/2007
127405,Dreamcraft Homes-52-56 Johnson Road,52-56 Johnson Road,"Pasadena,MD,21122",Anne Arundel,Environmental/Health Impact,09/25/2017,01/06/2016
127463,"K and P Builders-Kingsview Subdivision, Sec 6B",Tottenham Drive,"White Plains,MD,20695",Charles,Environmental/Health Impact,03/24/2017,09/27/2016
127493,Kevin Smith,1637 Lakewood Rd,"Pasadena,MD,21122",Anne Arundel,Environmental/Health Impact,,04/26/2016
127505,Triumph Industrial Park,505 Blue Ball Road,"Elkton,MD,21921",Cecil,Environmental/Health Impact,02/11/2015,09/11/2014
127559,Town Of Chesapeake Beach/rod-n-reel,4165 Mears Avenue,"Chesapeake Beach,MD,20732",Calvert,Environmental/Health Impact,08/15/2016,10/19/2011
127595,Ferry Point Marina,1606 Marina Dr,"Trappe,MD,21673",Talbot,Environmental/Health Impact,,07/19/2018
128251,Randall Williams,508 Ashberry Lane,"Severna Park,MD",Anne Arundel,Environmental/Health Impact,06/28/2012,03/30/2012
128251,Randall Williams,508 Ashberry Lane,"Severna Park,MD",Anne Arundel,Environmental/Health Impact,07/13/2012,03/30/2012
128426,Glorious Presence Church/rd Xing And,MALONEY RD,"Elkton,MD,21921",Cecil,Environmental/Health Impact,07/01/2012,09/16/2008
128427,Gary Salisbury and Elizabeth Hight,2021 Indian Circle,"Saint Leonard,MD,20685",Calvert,Environmental/Health Impact,01/10/2014,10/08/2013
128427,Gary Salisbury and Elizabeth Hight,2021 Indian Circle,"Saint Leonard,MD,20685",Calvert,Environmental/Health Impact,01/10/2014,10/08/2013
128507,Fort Meade Apartments & Neighborhhod Center,39.105763 -76.742220,"Fort George G. Meade,MD,20755",Anne Arundel,Environmental/Health Impact,10/02/2013,06/03/2013
128660,AAFB Ambulatory Care Center,38.807103 -76.897326,"Andrews Air Force Base,MD,20762",Prince George's,Environmental/Health Impact,09/30/2014,06/09/2014
128846,"Birdlawn Llc/rd Xings, Swm Pond And",TUCKER RD,"Oxon Hill,MD,20745",Prince George's,Environmental/Health Impact,01/27/2014,11/17/2009
128988,"Scheible, Dale/revetment",48804 Fox Harbor Rd,"Ridge,MD,20680",St. Mary's,Environmental/Health Impact,12/12/2013,03/02/2010
129153,"Donkat Properties, LLC",Marion Quimby Drive,"Stevensville,MD,21666",Queen Anne's,Environmental/Health Impact,02/25/2013,10/22/2010
129169,"Maple Ave, 1414 - NTW fill - Robert Oerman","1414 Maple Avenue, ADC Map 37 H-13","Essex,MD,21221",Baltimore,Environmental/Health Impact,06/02/2016,01/10/2009
129209,Rte 136 & Rte165 Delta Lumber,"Rte 136 & Rte 165, Delta Lumber","Whiteford,MD,21160",Harford,Environmental/Health Impact,09/08/2014,01/15/2010
129215,Fowler Land Development,Lots 4R and 5R,"Solomons,MD,20688",Calvert,Environmental/Health Impact,10/20/2012,10/22/2009
129250,"Code, Ken",1131 Asquith Drive,"Arnold,MD,21012",Anne Arundel,Environmental/Health Impact,09/16/2013,03/24/2010
129255,CAG Little Horn Point,1824-1826 Horns Point Rd,"Cambridge,MD,21613",Dorchester,Environmental/Health Impact,02/03/2015,10/14/2009
129258,Allen Tyler,100 Lake St,"Cambridge,MD,21613",Dorchester,,05/04/2012,10/14/2009
129260,801 Wise Avenue,801 Wise Ave,"Dundalk,MD,21222",Baltimore,Environmental/Health Impact,08/10/2016,10/26/2009
129320,"Hutchins, Art",3235 Holland Cliffs Road,"Huntingtown,MD,20639",Calvert,Environmental/Health Impact,09/22/2016,12/07/2010
129453,John & Susan Smith,6900 N River Drive,"Middle River,MD,21220",Baltimore,Environmental/Health Impact,09/22/2016,02/11/2011
129596,Chaplin's Cove,Connelly Mill Road west of Chadow Lane,"Delmar,MD,21875",Wicomico,Environmental/Health Impact,05/08/2014,07/27/2009
129625,Washington Managment/Thrift Manor,Thrift Rd,"Clinton,MD,20735",Prince George's,Environmental/Health Impact,04/12/2017,11/09/2009
129643,MTA/Dunkirk Park & Ride Facility,Near Town Center Blvd,"Dunkirk,MD,20754",Calvert,Environmental/Health Impact,11/17/2014,05/21/2014
129659,Livey,3360 Soper Rd,"Huntingtown,MD,20639",Calvert,Environmental/Health Impact,09/16/2013,12/07/2009
129714,2016 Kurtz Ave.,2016 Kurtz Avenue,"Pasadena,MD,21122",Anne Arundel,Environmental/Health Impact,07/28/2016,11/24/2009
129811,Park Beach Pumping,1827 Park Beach Drive,"Aberdeen,MD,21130",Harford,Environmental/Health Impact,04/04/2012,10/26/2009
129835,"Boyersmith, James & Albright, Carrie",2960 J St,"Chesapeake Beach,MD,20732",Calvert,Environmental/Health Impact,05/15/2013,02/19/2013
129875,160 Bamboushay Lane Louis Stone III,160 Bamboushay Lane,"Dowell,MD,20629",Calvert,Environmental/Health Impact,12/12/2012,12/21/2009
129893,PG DPW&T/Anacostia River Levee,Several locations,"Bladensburg,MD",Prince George's,Environmental/Health Impact,12/03/2014,06/30/2014
129962,2134 Lake Dr.,2134 LAKE DR,"Pasadena,MD,21122",Anne Arundel,Environmental/Health Impact,05/10/2013,01/08/2010
130196,Walgreens Drug Store @ Kent Island,MD Rte 18 and Dominion Rd,"Chester,MD,21619",Queen Anne's,Environmental/Health Impact,06/08/2011,10/15/2009
130225,1017 Bay Ridge Rd.,1017 Bay Ridge Ave,"Annapolis,MD,21401",Anne Arundel,Environmental/Health Impact,01/16/2013,06/27/2009
130247,"Pfau, Richard",529 Point Field Drive,"Millersville,MD,21108",Anne Arundel,Environmental/Health Impact,09/19/2013,07/07/2010
130248,Robert Norton,527 Point Field Dr,"Millersville,MD,21108",Anne Arundel,Environmental/Health Impact,11/18/2015,07/07/2010
130271,Richard Stoltzfus,1730 Ewingtown Rd,"Chestertown,MD,21620",Queen Anne's,Environmental/Health Impact,08/01/2014,11/19/2009
130284,American Tower Corp/Bivalve Site,22260 Capitola Rd,"Tyaskin,MD,21865",Wicomico,Environmental/Health Impact,12/11/2012,10/19/2010
130300,Family Dollar #7986,20 Poplar Lane,"Indian Head,MD,20640",Charles,Environmental/Health Impact,01/30/2016,09/17/2010
130303,"Hess, Gary",6395 Genoa Rd,"Tracys Landing,MD,20779-2404",Anne Arundel,Environmental/Health Impact,05/23/2013,04/29/2010
130361,"McFadden, James & Mary",15049 Potomac River Dr,"Cobb Island,MD,20625",Charles,Environmental/Health Impact,06/15/2015,04/06/2011
130413,Irene Muise,42132 Patuxent Dr,"Mechanicsville,MD,20659",St. Mary's,Environmental/Health Impact,,07/11/2012
130450,"Alagna, Mark",3592 South River Terr,"Edgewater,MD,21037",Anne Arundel,Environmental/Health Impact,12/06/2016,12/01/2011
130466,Wolf Properties LLC/Wolf Fire Protection Inc,1055 Dorsey Rd,"Glen Burnie,MD,21061",Anne Arundel,Environmental/Health Impact,11/17/2015,04/03/2009
130474,Village at Lee Airport,"Route 2, Solomons Island Road","Edgewater,MD,21037",Anne Arundel,Environmental/Health Impact,06/18/2014,02/07/2014
130511,Kinnamon Meadows,Cedar Street,"Greensboro,MD,21639",Caroline,Environmental/Health Impact,04/24/2012,06/13/2007
130524,Christmas Hills,19956 Pristine Way,"Drayden,MD,20630",St. Mary's,Environmental/Health Impact,05/09/2016,03/22/2010
130541,Manhattan Beach Civic Assn,End of Cypress Rd,"Severna Park,MD,21146",Anne Arundel,Environmental/Health Impact,02/08/2013,09/13/2012
130563,Stacy Church,6543 Clagett Ave,"Tracys Landing,MD,20779",Anne Arundel,Environmental/Health Impact,06/12/2015,07/12/2011
130627,Delaware Avenue,312 Delaware Avenue,"Pasadena,MD,21122",Anne Arundel,Environmental/Health Impact,04/10/2013,03/12/2010
130671,"San Miguel Tires, LLC",5613 Landover Rd,"Cheverly,MD,20784",Prince George's,Environmental/Health Impact,08/12/2015,03/24/2010
130698,"Harvey Property Management Company, Inc","14709 Baltimore Blvd, Laurel Commerce Center","Laurel,MD,20707",Prince George's,Environmental/Health Impact,06/17/2011,04/14/2010
130733,Sewage and grease Pazza Luna Restaurant,1401 E Clement St,"Baltimore,MD,21230",Baltimore City,Environmental/Health Impact,12/28/2012,04/20/2010
130779,MD DNR-Bishopville Dam Removal & Stream Corridor Enhancement Project,MD 367 at Bishopville Pond,"Bishopville,MD,21813",Worcester,Environmental/Health Impact,02/24/2015,09/15/2014
130874,"638 Rocky Hill Road, Tom & Melissa Mignini","638 Rocky Hill Rd, ADC Map 12 F-11","Sparks,MD,21152",Baltimore,Environmental/Health Impact,04/15/2014,05/21/2010
130920,26932 Boyce Mill Road,26932 Boyce Mill Rd,"Greensboro,MD,21639",Caroline,Environmental/Health Impact,05/10/2018,04/02/2010
130987,Turnbury Run,1728 Disney Rd,"Severn,MD,21144",Anne Arundel,,08/06/2015,04/23/2015
131006,Tri-County Council for Lower Eastern Shore/Multi-Purpose Center,31901 Comtek Lane,"Salisbury,MD,21801",Wicomico,Environmental/Health Impact,10/17/2012,03/16/2012
131031,4764 Williams Wharf Rd,4764 Williams Wharf Road,"Saint Leonard,MD,20685",Calvert,Environmental/Health Impact,08/04/2014,02/05/2014
131031,4764 Williams Wharf Rd,4764 Williams Wharf Road,"Saint Leonard,MD,20685",Calvert,Environmental/Health Impact,09/16/2013,05/26/2010
131100,John and Bresnahan,7769 Patuxent Dr,"Saint Leonard,MD,20685",Calvert,Environmental/Health Impact,07/28/2016,06/03/2010
131102,HA DPW/Bridge No 63/Watervale Rd,Watervale Rd over Winters Run,"Fallston,MD,21047",Harford,Environmental/Health Impact,03/15/2016,09/11/2015
131141,City of Baltimore DPW-Environmental Services Division,"Perry Hall Blvd, near Shanti Lane","Fullerton,MD,21237",Baltimore,Environmental/Health Impact,04/09/2013,07/08/2010
131247,Stoney's Banquet Facility,3946 Oyster House Road,"Prince Frederick,MD,20678",Calvert,Environmental/Health Impact,02/13/2013,06/22/2010
131391,211 Bayside Drive,211 Bayside Drive,"Dundalk,MD,21222",Baltimore,Environmental/Health Impact,,06/24/2010
131413,"3705 Parke Drive, Edgewater, MD",3705 Parke Drive,"Edgewater,MD,20137",Anne Arundel,Environmental/Health Impact,07/28/2016,07/12/2010
131414,Schultz Property,503 Baron Rd,"North East,MD,21901",Cecil,Environmental/Health Impact,04/13/2013,
131420,Pines At Cherry Hill,Cherry Hill Rd and Moltor Rd,"Elkton,MD,21921",Cecil,,03/21/2017,05/30/2007
131482,David Smith,1064 Bell Ave,"Glen Burnie,MD,21060",Anne Arundel,Environmental/Health Impact,12/03/2015,09/09/2014
131491,WI Bd of Ed/Bennett MS,532 S Division St,"Fruitland,MD,21826",Wicomico,Environmental/Health Impact,09/18/2013,05/15/2013
131570,Architect of the Capitol/Andrews Federal Campus,4317 Forestville Rd,"District Heights,MD,20747",Prince George's,Environmental/Health Impact,11/17/2015,07/20/2015
131586,994 Forest Drive/unauthorized stone groins,994 Forest Drive,"Arnold,MD,21012",Anne Arundel,Environmental/Health Impact,09/16/2013,07/28/2010
131591,Mark and Heather Mudd,10720 Mount Victoria Rd,"Newburg,MD,20664",Charles,Environmental/Health Impact,04/23/2013,10/19/2012
131668,Melvin Laney,25892 Miles Haven Rd,"Newcomb,MD,21653",Talbot,Environmental/Health Impact,01/06/2014,03/14/2011
131715,Deal Island & Ford Rd.- Roy Ford Prop.,"Deal Island Rd, At Ford Rd","Deal Island,MD,21821",Somerset,Environmental/Health Impact,07/02/2015,07/16/2010
131737,BGE POLE 1333242,Falls Rd & Joppa Rd,"Timonium,MD,21209",Baltimore,Environmental/Health Impact,04/09/2014,07/15/2010
131759,8150 Main Creek Rd Pier and Roof,8150 Main Creek Rd,"Pasadena,MD,21122",Anne Arundel,Environmental/Health Impact,09/16/2013,10/15/2010
131793,Franklin Square Professional Center,5233 King Avenue,"Rosedale,MD,21237",Baltimore,,03/06/2013,01/30/2013
131871,Carroll County Bureau of Building Construction N side of Woodbine Road between Braddock and Bethel,"North side of Woodbine Road between , intersections with Braddock and Bethel Roads, 7200 ft (1.36mi) south of intersection of Woodbine Road and MD 26 (Liverty Road)","Woodbine,MD",Howard,Environmental/Health Impact,11/19/2013,08/29/2013
131880,Wal-mart Real Estate Business Trust South of Legion Road East of its intersection Rt 404/313 Denton,"South of Legion Rd, East , of its intersection Rte 404/313","Denton,MD,21629",Caroline,Environmental/Health Impact,01/28/2013,07/18/2012
131958,CH DPW - Pinefield Subdivision,Temi Drive,"Waldorf,MD,20601",Charles,Environmental/Health Impact,02/13/2017,07/01/2016
131963,John Ernst,2531 Beckleysville Rd,"Freeland,MD,21053",Baltimore,Environmental/Health Impact,11/07/2012,08/17/2010
131977,Murphy's Run Phase I,Liberty Grove Rd.,"Colora,MD,21917",Cecil,Environmental/Health Impact,05/29/2012,09/27/2010
131994,Inflow and Infiltration repair work Cecil County Gov.,Race St and Cecil Ave,"North East,MD,21901",Cecil,Environmental/Health Impact,10/10/2013,08/10/2010
131995,Craig Willis,Teats Branch Rd,"Sudlersville,MD,21668",Queen Anne's,Environmental/Health Impact,12/06/2013,08/25/2010
132001,Charles Kucera,1237 Maiden Choice Lane,"Arbutus,MD,21229",Baltimore,Environmental/Health Impact,10/31/2012,09/02/2010
132037,DECKRESURRECT,3406 Fait Avenue,"Baltimore,MD,21224",Baltimore City,Environmental/Health Impact,05/13/2013,08/31/2010
132064,"PAF 2322 E Mayberry Road, Randy Poseno Property",2322 E Mayberry Rd,"Westminster,MD,21158",Carroll,Environmental/Health Impact,04/15/2015,08/19/2010
132099,Beltsville Auto Recyclers / Balto.,4101 Curtis Avenue,"Baltimore,MD,21226",Baltimore City,Environmental/Health Impact,12/05/2018,06/22/2018
132099,Beltsville Auto Recyclers / Balto.,4101 Curtis Avenue,"Baltimore,MD,21226",Baltimore City,Environmental/Health Impact,09/13/2017,02/02/2011
132106,Modern Junk and Salvage,1423 N Fremont Ave,"Druid,MD,21217",Baltimore City,Environmental/Health Impact,02/26/2020,03/14/2018
132107,"Auto Recycling of Baltimore, LLC",155 N Haven Street,"Baltimore,MD,21224",Baltimore City,Environmental/Health Impact,,01/28/2011
132134,Willows Road Business Park,21300 Willows Road,"Lexington Park,MD,20653",St. Mary's,,03/10/2015,01/09/2015
132157,FDA Consolidation White Oak Southeast Quad,"Bldg. 52, 71, 72, 75, East Loop Road, FDA White Oak Campus","Silver Spring,MD,20904",Montgomery,Environmental/Health Impact,04/19/2013,11/15/2012
132164,20 Helicopter Dr Middle River Sewage,20 Helicopter Drive,"Middle River,MD,21220",Baltimore,Environmental/Health Impact,03/01/2012,06/29/2011
132198,Prospect Green Inc,East side of Fountain Green Rd south of Prospect Mill Rd,"Bel Air,MD,21015",Harford,Environmental/Health Impact,05/15/2013,09/09/2011
132233,Gore Mill Rd/Middletown Rd,the intersection of Gore Mill Rd and Middletown Rd down to 20200 Gore Mill Road,"Parkton,MD,21120",Baltimore,Environmental/Health Impact,07/29/2015,09/17/2010
132247,1387 Liberty Grove Road (Murphy's Run),1387 Liberty Grove Road,"Colora,MD,21918",Cecil,Environmental/Health Impact,05/29/2012,10/14/2010
132263,D. W. Burt Concrete Construction,1802 Northwood Drive,"Salisbury,MD,21801",Wicomico,Environmental/Health Impact,10/05/2017,09/29/2010
132279,11780 Mill Bridge Rd,11780 Mill Bridge Rd,"Lusby,MD,20657",Calvert,Environmental/Health Impact,06/25/2015,09/30/2010
132293,Douglas Tavenner Property,7310 Westwood Drive,"Frederick,MD,21701",Frederick,Environmental/Health Impact,12/13/2012,03/08/2011
132298,AA DPW/Selby on the Bay,between Selby Bay and Beach Dr,"Edgewater,MD,21037",Anne Arundel,,06/18/2012,05/01/2012
132310,Sharp,Capitola Road,"Tyaskin,MD,21865",Wicomico,Environmental/Health Impact,12/27/2012,11/18/2010
132390,11680 Perry Branch Road,11680 Perry Branch Road,"Newburg,MD,20664",Charles,Environmental/Health Impact,03/06/2013,11/02/2012
132431,8605 Patuxent Ave-James Sanders,8605 Patuxent Ave.,"Broomes Island,MD,20615",Calvert,Environmental/Health Impact,07/28/2016,10/25/2010
132454,Jeff Lyon,20345 Gore Mill Rd,"Freeland,MD,21053",Baltimore,Environmental/Health Impact,05/24/2012,09/17/2010
132513,Yoos @ Hillside Rd.,Skippers Lane,"Chestertown,MD,21620",Kent,Environmental/Health Impact,04/01/2013,10/29/2010
132548,James Tawes III Property,"Parcel 196, Map 65, Holland Crossing Rd","Marion,MD,21838",Somerset,Environmental/Health Impact,05/10/2018,03/31/2009
132741,QA P&Z @ Hickory Ridge,365 Hickory Ridge Dr,"Queenstown,MD,21658",Queen Anne's,Environmental/Health Impact,11/20/2012,11/30/2010
132742,Sherwood Forest Club Inc - Beach Rd,Beach Rd (Community Property),"Sherwood Forest,MD,21405",Anne Arundel,Environmental/Health Impact,05/23/2013,11/16/2010
132780,Spiro Buas,11600 Ocean Gateway,"Berlin,MD,21811",Worcester,Environmental/Health Impact,01/10/2013,01/19/2011
132808,Light Armor C,Surveillance Range Road & Plate Range Road,"Aberdeen Proving Ground,MD,21005",Harford,Environmental/Health Impact,12/20/2017,11/03/2010
132818,3 Isaacs St/Pascal property,3 Isaacs Street,"Annapolis,MD,21401",Anne Arundel,Environmental/Health Impact,09/26/2017,12/02/2010
132845,Hunters Ridge NOI,7200 Block Landover Road,"Landover,MD,20706",Prince George's,Environmental/Health Impact,01/13/2014,04/28/2009
132853,10501 Falls Road/BGE/SHA,10501 Falls Road,"Lutherville Timonium,MD,21093",Baltimore,Environmental/Health Impact,10/31/2012,11/30/2010
132885,Utility Relocation Towson Center,"27/B/9, Auburn Drive","Towson,MD,21252",Baltimore,Environmental/Health Impact,07/31/2015,02/08/2011
