"","Site.No","Site.Name","Street.Address","City..State.Zip","County","Enforcement.Action","Enforcement.Action.No","Enforcement.Action.Issued","Case.Closed","Media","Program","Latitude","Longitude"
"510",67337,"Armour Farms Inc.","2100 Biggs Hwy.","Rising Sun,MD,21911","Cecil","Settlement Agreement","SA-11-1193","09/15/2010","01/04/2011","Notice of Intent;Sediment",NA,39.6499505150585,-75.9717693310812
"511",67416,"Garrett County Roads Dept. - Big Run Dike","Big Run State Park","Grantsville,MD,21536","Garrett",NA,NA,NA,NA,"Not Assigned",NA,39.6970699998707,-79.1576750001847
"512",67539,"McHenry Business Park","Bumblebee Rd, S Side of Airport","Mc Henry,MD,21541","Garrett",NA,NA,NA,NA,"Not Assigned",NA,39.5619249998852,-79.3578050002524
"513",67596,"Project - AAFB Strategic Planning and Development Facility","California Ave","Andrews Airforce Base,MD,20762","Prince George's",NA,NA,NA,NA,"Not Assigned",NA,38.8105306511092,-76.8825262773942
"514",67659,"Fisher Marine Construction, Inc","735 South Main St","Chincoteague,VA,23336","Outside of Maryland",NA,NA,NA,NA,"Not Assigned",NA,37.9259385278115,-75.3875422308982
"515",67711,"Amtrak Way","Amtrak Way","Linthicum,MD,21090","Anne Arundel","Settlement Agreement","SAP-14-2062","03/06/2014","03/31/2014","Sediment;Waterway Construction",NA,39.1911788250111,-76.6914969594512
"516",67897,"Artery - Beazer Clarksburg, LLC - Greenway Village at Clarksburg","Skylark Rd and (MD 27)Ridge Rd Intersection","Clarksburg,MD,20871","Montgomery","Consent Decree","JCD-11-1310","02/10/2011","07/18/2016","Sediment","Notice of Intent (Construction)",39.2333700361914,-77.2376099120598
"517",67979,"John H. Burbage, Jr Property","12541 Ocean Reef Drive","Berlin,MD,21811","Worcester","Settlement Agreement","SAP-13-1947","06/27/2013","06/27/2013","Sediment",NA,38.3156300092237,-75.112539965061
"518",68002,"Project - AAFB- Bldg 1535","Alabama Drive and Arkansas Rd","Andrews Airforce Base,MD,20762","Prince George's","Penalty Settlement","PS-14-2045","12/23/2013","01/28/2014","Notice of Intent;Sediment","Notice of Intent (Construction)",38.8113600288522,-76.8920599187398
"519",68106,"Norris Taylor Property off Nixon Road","Nixon Road","Easton,MD,21601","Talbot",NA,NA,NA,NA,"Not Assigned",NA,38.805064854579,-76.0577030676788
"520",68106,"Norris Taylor Property off Nixon Road","Nixon Road","Easton,MD,21601","Talbot","Settlement Agreement","CO-14-2030","03/07/2013","07/01/2015","Non-Tidal Wetlands",NA,38.805064854579,-76.0577030676788
"521",68187,"Norris Taylor Old Adams Pit","Hailem School Road","Easton,MD,21601","Talbot",NA,NA,NA,NA,"Not Assigned",NA,38.8236936511859,-76.075124245104
"522",68244,"The VIllas @ Settlers Landing","FDR Blvd","California,MD,20619","St. Mary's","Penalty Settlement","C-13-1849","01/28/2013","04/22/2013","Notice of Intent;Sediment","Notice of Intent (Construction)",38.3012990335083,-76.5232268553884
"523",68337,"Roy McIntyre Farm","8809 Court House Hill Rd, Somerset County","Pocomoke City,MD,21851","Somerset",NA,NA,NA,NA,"Not Assigned",NA,38.1218800127384,-75.5672159677926
"524",68375,"Bel Air Service Center","16010 McMullen Hwy, SW","Cumberland,MD,21502","Allegany",NA,NA,NA,NA,"Not Assigned",NA,39.5759449989582,-78.8483080263099
"525",68447,"James Strippy, Jr.","2180 Potts Point Rd","Huntingtown,MD,20639","Calvert","Consent Decree","CJ-13-1794","11/15/2012","07/14/2014","Tidal Wetlands",NA,38.5719890094814,-76.6718219763518
"526",68447,"James Strippy, Jr.","2180 Potts Point Rd","Huntingtown,MD,20639","Calvert","Consent Decree","CJ-13-1827","12/20/2012","07/14/2014","Tidal Wetlands",NA,38.5719890094814,-76.6718219763518
"527",68466,"Willow Woods Subdivison","Willow Woods, Tax map 113, Grid 9, Parcel 285, Willow Lane","La Plata,MD,20646","Charles","Penalty Settlement","18-C-2492","10/31/2017","02/07/2018","Sediment",NA,38.5255653246349,-76.9680903105399
"528",68479,"Byron and Marie Nashold","6119 Twin Point Cove Rd","Cambridge,MD,21613","Dorchester","Consent Order","CO-14-2061","03/06/2014","11/01/2015","Sediment",NA,38.613529008819,-76.2599960232028
"529",68491,"Nancy Chau Bounds","6316 Cabin Creek Rd","Hurlock,MD,21643","Dorchester",NA,NA,NA,NA,"Not Assigned",NA,38.6279600059931,-75.9163799859085
"530",68492,"Jeffrey and Sheila Fooks","5100 block of River Rd., Tax Map 6, Parcel 200","Hurlock,MD,21643","Dorchester","Complaint & Penalty","AP-12-1613","03/13/2012","09/11/2014","Non-Tidal Wetlands",NA,38.6650094847006,-75.8035929006413
"531",68505,"Washington Overlook","2511 Washington Overlook Dr, Ste B","Fort Washington,MD,20744","Prince George's",NA,NA,NA,NA,"Not Assigned",NA,38.7598409542625,-76.9633749116798
"532",68538,"Four Seasons at Kent Island","800 Castle Marina Rd","Chester,MD,21619","Queen Anne's","Consent Order","SA-18-2534","06/01/2018",NA,"Sediment;Stormwater Management","Industrial Stormwater",38.9883973544271,-76.2889026457274
"533",68563,"William Steffey and Joseph Van Nest Steffey property","186 and 188 W. Lake Drive","Annapolis,MD,21403","Anne Arundel","Settlement Agreement","SAP-13-1839","01/28/2013","07/14/2014","Tidal Wetlands",NA,38.9420600090429,-76.4625970164276
"534",68575,"06-GL-0891 / Robert Peterson","12032 Neale Sound Dr","Cobb Island,MD,20625","Charles","Penalty Settlement","PS-12-1705","08/09/2012","08/09/2012","Tidal Wetlands",NA,38.2656540018367,-76.8546539993422
"535",68582,"Kaufmann/Ketter property","4116 Shoreham Beach Rd","Mayo,MD,21106","Anne Arundel","Complaint, Order, Penalty","COP-15-2199","08/05/2013","10/24/2018","Tidal Wetlands",NA,38.8956460168509,-76.5031500055567
"536",68582,"Kaufmann/Ketter property","4116 Shoreham Beach Rd","Mayo,MD,21106","Anne Arundel","Consent Order",NA,"12/22/2014","10/24/2018","Tidal Wetlands",NA,38.8956460168509,-76.5031500055567
"537",68678,"City of Havre de Grace Municipal Disposal Site","Quarry Rd","Havre De Grace,MD,21078","Harford","Settlement Agreement","SAP-12-1489","11/20/2011","10/01/2012","Notice of Intent;Sediment",NA,39.5655200490102,-76.104086066408
"538",68778,"Calvert Crossings, LLC","Hidden Creek Rd","Port Republic,MD,20676","Calvert","Penalty Settlement","PS-13-1955","06/20/2013","06/21/2013","Notice of Intent","Notice of Intent (Construction)",38.4752606890333,-76.5384211226991
"539",68885,"Odell Road in Beltsville","5600 to 5610 Odell Rd, bottom of Ammendale RD and Ammendale Way","Beltsville,MD,20705","Prince George's",NA,NA,NA,NA,"Not Assigned",NA,39.0449600245042,-76.8850399072897
"540",68896,"Piney Branch Bog","SMECO Row @ Billingsley Rd","Saint Charles,MD,20602","Charles","Penalty Settlement",NA,"06/19/2012","08/17/2012","Non-Tidal Wetlands",NA,38.5749339264646,-76.8618616419058
"541",69296,"Willing, Frank","26455 High Banks Dr","Salisbury,MD,21801","Wicomico","Consent Decree","CJ-16-2377","03/07/2016","12/05/2019","Tidal Wetlands",NA,38.3427779882931,-75.6969969980241
"542",69536,"Nexus Land Group/jefferson Tech Park/","S SIDE JEFFERSON PIKE IMMED SW OF I-70","Frederick,MD,21703","Frederick","Penalty Settlement","C-15-2148","09/16/2014","10/02/2014","Notice of Intent;Sediment","Notice of Intent (Construction)",39.3892798651817,-77.4702475518429
"543",69699,"Perlco Builders/tall Cedars/rd Xing","Tall Cedars Rd","Clinton,MD,20735","Prince George's","Settlement Agreement","SAP-15-2247","04/22/2015","09/15/2015","Non-Tidal Wetlands;Notice of Intent","Notice of Intent (Construction)",38.7687150431989,-76.8783799406053
"544",70438,"Cl Brm/westminster Hs/swm Facility","WESTMINSTER HIGH SCHOOL","Westminster,MD","Carroll","Consent Order","COP-13-1954","07/09/2013","08/06/2013","Non-Tidal Wetlands",NA,39.54063000014,-76.9913600001652
"545",70460,"Hollingsworth, Joe/stream Xing","2809 Chancellor Point Rd","Trappe,MD,21673","Talbot","Consent Decree","AP-12-1635","06/11/2014","09/14/2016","Non-Tidal Wetlands",NA,38.6253969875648,-76.0160689785631
"546",70460,"Hollingsworth, Joe/stream Xing","2809 Chancellor Point Rd","Trappe,MD,21673","Talbot","Complaint & Penalty","AP-12-1635","03/27/2012","02/12/2013","Tidal Wetlands",NA,38.6253969875648,-76.0160689785631
"547",70460,"Hollingsworth, Joe/stream Xing","2809 Chancellor Point Rd","Trappe,MD,21673","Talbot","Complaint, Order, Penalty","AP-12-1635","01/01/2012","06/11/2014","Tidal Wetlands",NA,38.6253969875648,-76.0160689785631
"548",71068,"G & G Ventures","7443 Shipley Avenue","Harmans,MD,21077","Anne Arundel","Complaint, Order, Penalty","C11-160993","04/29/2011","01/16/2015","Non-Tidal Wetlands;Sediment",NA,39.1651050088712,-76.6973049738016
"549",71435,"New Plan Maryland Holdings-Liberty Plaza Wal-Mart","8700 Liberty Road","Randallstown,MD,21133","Baltimore","Penalty Settlement",NA,"08/13/2012","10/09/2012","Notice of Intent","Notice of Intent (Construction)",39.3640589944145,-76.7828449779118
"550",71789,"McCready Railway & Boatyard","12878 McCready Road","Lusby,MD,20657","Calvert",NA,NA,NA,"10/20/2017","Not Assigned",NA,38.3537799900615,-76.4657529704972
"551",71959,"Aa Cpaital Projects/morgan And Odenton","HALE STREET: ROW CORRIDOR/ON LEFT","Odenton,MD,21113","Anne Arundel","Penalty Settlement","PS-13-1808","11/29/2012","01/17/2013","Notice of Intent","Notice of Intent (Construction)",39.0917000049614,-76.7096654777007
"552",72372,"Barkhimer, Erik/pier And Osprey Pole","14990 Chesapeake Bay Dr","Scotland,MD,20687","St. Mary's","Penalty Settlement","PS-13-1735","10/18/2012","10/18/2012","Tidal Wetlands",NA,38.0785109977909,-76.3308350069585
"553",72913,"Lawson, Dennis B/revetment","166 Leason Cove Dr","Lusby,MD,20657","Calvert","Settlement Agreement","SA-14-2041","12/02/2013","01/27/2014","Tidal Wetlands",NA,38.3339639977245,-76.4379959633642
"554",72914,"Assoc Of Maryland Pilots","239 ALEXANDER ST","Solomons,MD","Calvert","Penalty Settlement","PS-13-1848","02/04/2013","02/19/2013","Tidal Wetlands",NA,38.3249202179514,-76.4587567203846
"555",74039,"Tucker Homes Llc/prev. Terra Firma Llc.","MELSON RD","Delmar,MD,21875","Wicomico",NA,"SC-O-12-1679",NA,"11/02/2016","Not Applicable",NA,38.442422059643,-75.4902599977378
"556",74851,"Bauserman Service/maryland Airport/lot","RTE 224 (LIVINGSTON ROAD)","Indian Head,MD","Charles","Penalty Settlement",NA,"05/23/2013","05/23/2013","Notice of Intent",NA,38.5995949075419,-77.0847822115488
"557",75359,"Wal-Mart Water Treatment Plant","11416 Ocean Gateway (Rte 50)","Berlin,MD,21811","Worcester","Penalty Settlement","SAP-17-2431","01/18/2017","02/23/2017","Surface Water Discharge Permit","Municipal Minor",38.3394600118385,-75.1624999636234
"558",75852,"WeCare Denali, LLC","7800 Kabik Ct.","Woodbine,MD,21797","Carroll","Settlement Agreement","SAP-13-1872","03/22/2013","09/25/2017","Surface Water Discharge Permit","Industrial Minor",39.3589869793029,-77.0254170046752
"559",75852,"WeCare Denali, LLC","7800 Kabik Ct.","Woodbine,MD,21797","Carroll","Consent Order","SA-18-2480","07/17/2017",NA,"Surface Water Discharge Permit","Industrial Minor",39.3589869793029,-77.0254170046752
"560",75852,"WeCare Denali, LLC","7800 Kabik Ct.","Woodbine,MD,21797","Carroll","Consent Order","SA-18-2480","07/17/2017",NA,"Surface Water Discharge Permit","Industrial Stormwater",39.3589869793029,-77.0254170046752
"561",76079,"Annesley Development/lot 12, 7674","LOT 12, 7674 COLONIAL BEACH RD","Pasadena,MD,21122","Anne Arundel","Settlement Agreement","SA-13-1958","07/12/2013","07/19/2013","Tidal Wetlands",NA,39.1506339882485,-76.500429994013
"562",76347,"Raincliffe Properties/rd Xings And Swm","NE OF MD 32 & RAINCLIFFE RD INTERSECTION","Sykesville,MD,21784","Carroll","Penalty Settlement","PS-14-2037","12/11/2013","12/26/2013","Notice of Intent","Notice of Intent (Construction)",39.3686000578531,-76.9641898839668
"563",76935,"Kuzzens Packing","29643 Kingston Lane","Westover,MD,21871","Somerset","Complaint & Penalty","AP-13-1862","04/08/2013","05/21/2013","Groundwater Discharge Unauthorized","Industrial Minor",38.0727869964813,-75.7241899871263
"564",76935,"Kuzzens Packing","29643 Kingston Lane","Westover,MD,21871","Somerset","Settlement Agreement","SAP-13-1935","05/21/2013","05/21/2013","Groundwater Discharge Unauthorized","Industrial Minor",38.0727869964813,-75.7241899871263
"565",76978,"Vanloon, Lawrence A/pier And Boatlift","5923 Castle Haven Road","Cambridge,MD,21613","Dorchester","Consent Order","SA-16-2370","02/03/2016","12/10/2019","Non-Tidal Wetlands;Tidal Wetlands",NA,38.602951005171,-76.18486801875
"566",77614,"Fr Comm/bush Creek Sewer Interceptor/","Green Valley Rd to FR CO LANDFILL","Ijamsville,MD,21754","Frederick","Penalty Settlement","PS-15-2129","08/04/2014","08/30/2014","Notice of Intent;Sediment","Notice of Intent (Construction)",39.3175688980615,-77.2908671607029
"567",77988,"Fort Meade Wastewater Treatment Plant","3220 Laurel Fort Meade Road","Laurel,MD,20724","Anne Arundel","Penalty Settlement","PS-15-2279","06/30/2015","07/22/2015","Notice of Intent","Notice of Intent (Construction)",39.0912403872492,-76.7751028494322
"568",78229,"City Of Westminster/sanitary Sewer","CITY OF WESTMINSTER","Westminster,MD,","Carroll","Penalty Settlement","PS-13-1847","02/01/2013","09/27/2016","Surface Water Discharge Unauthorized","Collection System (SSO)",39.58380000026,-77.0200800003845
"569",78229,"City Of Westminster/sanitary Sewer","CITY OF WESTMINSTER","Westminster,MD,","Carroll","Penalty Settlement","PS-15-2204","11/18/2014","11/20/2014","Surface Water Discharge Unauthorized","Collection System (SSO)",39.58380000026,-77.0200800003845
"570",79293,"Homewood Retirement Center/homewood At","WILLOW RD","Frederick,MD,21702","Frederick","Penalty Settlement","C-15-2253","05/08/2015","05/19/2015","Notice of Intent;Sediment;Waterway Construction","Notice of Intent (Construction)",39.4714259486754,-77.4068345866048
"571",79331,"Joseph and Maureen Pagliaro","3241 Holland Cliffs Rd","Huntingtown,MD,20639","Calvert","Complaint & Order","AOP-14-1961","07/12/2013","07/14/2014","Tidal Wetlands",NA,38.6058000145626,-76.6694010310341
"572",79331,"Joseph and Maureen Pagliaro","3241 Holland Cliffs Rd","Huntingtown,MD,20639","Calvert","Consent Order","AOP-14-1967","02/28/2014","07/23/2014","Tidal Wetlands",NA,38.6058000145626,-76.6694010310341
"573",79383,"C S Tarbutton Inc/21843 Dover Bridge Rd/","21843 DOVER BRIDGE RD","Bethlehem,MD,21609","Caroline",NA,NA,NA,"12/04/2018","Not Assigned",NA,38.7467249943913,-75.950042966877
"574",80959,"JNP Capital Management LLC-Main Heights","Betwn 5730 and 5736 Mains Lane","Frederick,MD,21701","Frederick","Settlement Agreement","SAP-15-2166","11/13/2014","04/22/2015","Notice of Intent;Sediment;Waterway Construction","Notice of Intent (Construction)",39.3932210188109,-77.349042034248
"575",80959,"JNP Capital Management LLC-Main Heights","Betwn 5730 and 5736 Mains Lane","Frederick,MD,21701","Frederick","Settlement Agreement","SAP-15-2221","03/13/2015","04/20/2016","Notice of Intent;Sediment;Waterway Construction","Notice of Intent (Construction)",39.3932210188109,-77.349042034248
"576",81146,"BGE-Leakin Park","Leakin Park","Baltimore,MD,21202","Baltimore City","Penalty Settlement","PS-20-2626","11/05/2019","01/07/2020","Sediment;Surface Water Discharge Unauthorized","Industrial Minor",39.2835019629541,-76.584235181528
"577",81305,"Eagle Nest Development/rd Xing, Utility","12612 Eagles Nest Rd","Berlin,MD,21811","Worcester","Settlement Agreement","SAP-13-1384","01/08/2013","05/27/2014","Tidal Wetlands",NA,38.3044000192032,-75.121169973096
"578",81674,"Tracey, Edward And Leola/pier, Boatlift And","6073 Picture Hill Drive","Preston,MD,21655","Caroline","Settlement Agreement",NA,"06/01/2017","07/14/2017","Waterway Construction",NA,38.775010983936,-75.9561559727411
"579",82702,"Twin Ponds Duck Club/pier","300 Twin Ponds Lane","Centreville,MD,21617","Queen Anne's","Penalty Settlement","PS-14-2073","04/08/2014","03/02/2015","Tidal Wetlands",NA,39.0751099816814,-76.122465001538
"580",82825,"Paul Van Cleve","4963 Mountain Road","Pasadena,MD,21122","Anne Arundel","Settlement Agreement","SAP-15-2167","11/19/2014","12/01/2014","Tidal Wetlands",NA,39.1031609843287,-76.4439069650703
"581",84005,"Union Wharf","Thames & Wolfe Sts","Baltimore,MD,21231","Baltimore City","Penalty Settlement",NA,"08/14/2012","05/30/2013","Notice of Intent","Notice of Intent (Construction)",39.281990062015,-76.5897799077534
"582",85056,"WSSC Rocky Gorge WPS","7400 Brooklyn Bridge Road","Laurel,MD,20707","Prince George's","Penalty Settlement","C-15-2223","02/24/2015","03/24/2015","Notice of Intent;Sediment","Notice of Intent (Construction)",39.1159785910205,-76.8761337158138
"583",88532,"Capt John's Crabhouse","16215 Cobb Island Rd","Newburg,MD,20664","Charles","Penalty Settlement",NA,"09/20/2013","10/04/2013","Tidal Wetlands",NA,38.2677439872448,-76.8513849734294
"584",88666,"David & Janet Ewing Property","3105 Ervin Ct","Annapolis,MD,21403","Anne Arundel","Penalty Settlement","PS-14-2000","03/21/2014","11/12/2013","Tidal Wetlands",NA,38.9374000060714,-76.4864349811999
"585",88791,"CVS Pharmacy #5728","1228 National Hwy","LaVale,MD,21502","Allegany","Penalty Settlement","C-13-1754","09/14/2012","12/19/2012","Sediment",NA,39.6360660016366,-78.8347409942543
"586",89000,"Daryl Wagner-Little Island","1000 Dutchship Island Rd, Little Island","Pasadena,MD,21122","Anne Arundel","Consent Order","SAP-10-1051","11/30/2009",NA,"Non-Tidal Wetlands;Tidal Wetlands",NA,39.0833879906722,-76.4629290238751
"587",89208,"Jeffrey Sparhawk","115 Wye River Dr","Queenstown,MD,21658","Queen Anne's","Settlement Agreement","19-11-12456","02/22/2006","07/09/2014","Tidal Wetlands",NA,38.9161039787468,-76.1719889731329
"588",89916,"Bradley Guyton - Cypress Creek Spur","217 Wiltshire Ln","Severna Park,MD,21146","Anne Arundel","Settlement Agreement",NA,"09/08/2015","09/18/2015","Tidal Wetlands",NA,39.0751119929264,-76.528666026873
"589",89976,"Community College At Ba Co, Essex/swm","7201 ROSSVILLE BLVD","Essex,MD,21221","Baltimore","Penalty Settlement","PS-15-2275","06/30/2015","07/24/2015","Surface Water Discharge Unauthorized","Municipal Minor",39.3541744105688,-76.4849035135406
"590",90169,"Robert Carter","121 Beech St.","North East,MD,21901","Cecil","Consent Order","SA-18-2507","02/22/2018",NA,"Sediment;Waterway Construction",NA,39.5947979949441,-75.9453569797576
"591",90947,"Aa Dpw/cayuga Farms Interceptor Sewer/","UPTON RD","Severn,MD","Anne Arundel","Penalty Settlement",NA,"09/03/2013","11/21/2013","Non-Tidal Wetlands;Sediment",NA,39.122636387419,-76.6522971367706
"592",90947,"Aa Dpw/cayuga Farms Interceptor Sewer/","UPTON RD","Severn,MD","Anne Arundel","Settlement Agreement","SA-14-2105","07/07/2014","07/07/2014","Notice of Intent;Sediment","Notice of Intent (Construction)",39.122636387419,-76.6522971367706
"593",91517,"MD Army National Guard La Plata Radiness Center","38.548257 -77.040528","La Plata,MD,20646","Charles","Penalty Settlement","C-16-2366","01/07/2016","04/22/2016","Sediment",NA,38.5295800002058,-76.9775499998764
"594",92003,"Rosewood Village Pud/swm Facility And","-","Hagerstown,MD","Washington","Penalty Settlement","C-16-2323","10/07/2015","10/20/2015","Notice of Intent;Sediment","Notice of Intent (Construction)",39.6424999997089,-77.7175800001302
"595",92446,"Paul and Carol Choporis","44841 Glebe Road","Valley Lee,MD,20692","St. Mary's","Consent Order","CO-17-2426","12/22/2016",NA,"Tidal Wetlands",NA,38.182445004529,-76.5252469652398
"596",92672,"Sisk, John Douglas/pier","820 Bayfront Ave","Holland Point,MD,20714","Anne Arundel","Settlement Agreement","SAP-16-2397","04/28/2016","05/10/2016","Waterway Construction","Municipal Minor",38.7267399809479,-76.5268800107982
"597",93625,"Bunting Family Llc/The Angler/dredging","TALBOT ST & BAY S OF RT 50 BRIDGE IN OC","Ocean City,MD,21842","Worcester","Penalty Settlement","PS-19-2557","11/05/2018","11/20/2018","Tidal Wetlands","Notice of Intent (Construction)",38.3307595725185,-75.0876424733437
"598",96365,"Lindsay Estabrook","92 Johnson Road","Pasadena,MD,21122","Anne Arundel","Penalty Settlement","PS-17-2472","06/07/2017","07/24/2017","Tidal Wetlands",NA,39.1552900099715,-76.5119609783074
"599",97509,"F & F Landscaping, Inc","12402 Crestwood Ave, South","Brandywine,MD,20613","Prince George's","Administrative Order","PS-16-2374","03/03/2016","03/17/2016","Surface Water Discharge Unauthorized","Municipal Minor",38.7189161445143,-76.8761653993939
"600",97745,"Estate Of Philip E Clarke/revetment","24591 Phils Lane","Hollywood,MD,20636","St. Mary's","Consent Order","SAP-18-2512","02/16/2018","01/14/2019","Not Assigned",NA,38.3428470133701,-76.5049559696208
"601",97745,"Estate Of Philip E Clarke/revetment","24591 Phils Lane","Hollywood,MD,20636","St. Mary's","Settlement Agreement","SAP-18-2512","02/16/2018","01/14/2019","Not Assigned",NA,38.3428470133701,-76.5049559696208
"602",97870,"Schuster Concrete Rockville Plant","15121 Southlawn Lane","Rockville,MD,20850","Montgomery","Settlement Agreement","SA-19-2565","12/14/2018","12/26/2018","Surface Water Discharge Permit","Industrial Minor",39.1043779945252,-77.1320069846998
"603",98314,"Frank Gladhill-Gladhill Acres","11629 Gladhill Brothers Road","Monrovia,MD,21770","Frederick","Penalty Settlement","PS-15-2224","02/24/2015","03/20/2015","Notice of Intent","Notice of Intent (Construction)",39.3271499965044,-77.2502759734113
"604",98966,"Gerald Birch","49705 Airedele Road","Ridge,MD,20680","St. Mary's","Penalty Settlement","PS-13-1786","10/19/2012","08/23/2013","Tidal Wetlands",NA,38.1104799953572,-76.3543340077297
"605",99881,"Mark Vogel Co/vogel Charlotte Hall/swm","FRNTS E OF RT 5 & N OF MOUNT WOLF RD","Charlotte Hall,MD,20622","St. Mary's","Complaint & Penalty","SAP-14-2015","04/08/2013","08/27/2015","Notice of Intent;Sediment",NA,38.5006800518072,-76.7745199038983
"606",99881,"Mark Vogel Co/vogel Charlotte Hall/swm","FRNTS E OF RT 5 & N OF MOUNT WOLF RD","Charlotte Hall,MD,20622","St. Mary's","Settlement Agreement","SAP-14-2051","01/27/2014","08/27/2015","Notice of Intent;Sediment","Notice of Intent (Construction)",38.5006800518072,-76.7745199038983
"607",102425,"P&J Construction - Cold Spring Site","Cold Spring Lane","Baltimore City,MD","Baltimore City",NA,"CJ-21-2692","02/10/2021",NA,"Sediment;Stormwater Management","Industrial Stormwater",39.3458200570883,-76.5859349198097
"608",102438,"Town Of Westernport/cso Elimination","Main Street","Westernport,MD,21562","Allegany","Consent Decree","01-C-00-018487-L","09/06/2002",NA,"Surface Water Discharge Unauthorized",NA,39.4885395924896,-79.0424468221846
"609",102966,"Windsor Knolls Lp/outfall","RTE 75 FRM WINDSOR RD TO KNOLLS PKWY","Ijamsville,MD","Frederick","Penalty Settlement","SAP-13-1842","02/25/2013","02/25/2013","Notice of Intent","Notice of Intent (Construction)",39.3151204394276,-77.2795039960766
"610",103186,"Greensboro Regional WWTP","near MD Rte 313 & MD Rte 480","Greensboro,MD,21639","Caroline","Consent Order","CA-17-2428","01/17/2017","02/25/2020","Surface Water Discharge Permit","Municipal Minor",38.9849200327843,-75.7992399558286
"611",103186,"Greensboro Regional WWTP","near MD Rte 313 & MD Rte 480","Greensboro,MD,21639","Caroline",NA,"SP-20-2634","02/13/2020","02/25/2020","Surface Water Discharge Permit","Municipal Minor",38.9849200327843,-75.7992399558286
"612",103186,"Greensboro Regional WWTP","near MD Rte 313 & MD Rte 480","Greensboro,MD,21639","Caroline",NA,"PS-20-2635","02/13/2020","02/25/2020","Surface Water Discharge Permit","Municipal Minor",38.9849200327843,-75.7992399558286
"613",103606,"Remmers, Jerome","12015 Woodbury Road","Nanjemoy,MD,20662","Charles","Penalty Settlement","PS-13-1714","07/11/2012","08/06/2012","Tidal Wetlands",NA,38.3823510068936,-77.1583209642116
"614",104312,"Solomons Beacon Inn/bulkhead","255 Lore Road","Solomons,MD,20688","Calvert","Penalty Settlement","PS-14-1990","09/17/2013","09/18/2013","Surface Water Discharge Unauthorized","Collection System (SSO)",38.3329639946361,-76.4622169805534
"615",104961,"Adkins Arboretum Parking Lot Alive","38.927461 -75.944091, Tuckahoe State Park","Ridgely,MD,21660","Caroline","Penalty Settlement","PS-16-2318","09/25/2015","10/14/2015","Notice of Intent;Sediment",NA,38.9423299997373,-75.8829149999168
"616",105154,"Victoria Station/lake Victoria/embnkment","LAKE SHORE DRIVE; VICTORIA STATION COMM","Owings,MD","Calvert","Penalty Settlement","SAP-13-1752","09/13/2012","01/02/2013","Sediment",NA,38.6887726874175,-76.6241063277969
"617",105512,"Town Of Chesapeake Beach-Fishing Creek","Fishing Creek Channel","Chesapeake Beach,MD,20732","Calvert","Settlement Agreement","C-18-2505","01/29/2018","02/09/2018","Tidal Wetlands",NA,38.6953799997513,-76.5378900000756
"618",105542,"Construct water transmission main & an access rd near Rte 50","38.946636 -76.824510","Bowie,MD,20720","Prince George's","Penalty Settlement","PS-19-2576","01/22/2019","02/05/2019","Non-Tidal Wetlands;Sediment;Surface Water Discharge Permit","Notice of Intent (Construction)",38.9765666996664,-76.7715709998235
"619",106206,"Candlewood Suites Hotel","corner of Cooper Ave & Mapes Rd","Fort George G. Meade,MD,20755","Anne Arundel","Penalty Settlement",NA,"11/24/2014","01/14/2015","Sediment",NA,39.1030100264927,-76.7428399143936
"620",106270,"Fr Comm/landfill Leachate Sewer/utility","TABLER RD","Frederick,MD","Frederick","Penalty Settlement","PS-13-1950","06/27/2013","08/09/2013","Notice of Intent;Sediment;Waterway Construction","Notice of Intent (Construction)",39.3410301721692,-77.3663897447544
"621",107215,"Bldgs 9701, 9703, & 9705 Secondary Unit Substation Replacement","39.097806 -76.763167","Fort George G. Meade,MD,20755","Anne Arundel","Penalty Settlement",NA,"03/09/2018","03/28/2018","Sediment",NA,39.1152862998556,-76.7417253997734
"622",108026,"The Global Mission Church Of Greater","MD 109","Hyattstown,MD,20871","Montgomery","Penalty Settlement","C-14-1998","09/23/2013","10/10/2013","Sediment;Waterway Construction",NA,39.2792752281034,-77.3209120645753
"623",108827,"Construction Trades Services, Inc","603 E Church St","Frederick,MD,21701","Frederick","Settlement Agreement","AP-12-1575","12/21/2012","09/12/2014","Sediment",NA,39.419668018266,-77.3977679650023
"624",108827,"Construction Trades Services, Inc","603 E Church St","Frederick,MD,21701","Frederick","Penalty Settlement","AP-12-1575","02/06/2012","12/21/2012","Sediment",NA,39.419668018266,-77.3977679650023
"625",109495,"VOB Limited Partnership-Beech Tree","Intersect of Leeland Road and US 301","Upper Marlboro,MD,20772","Prince George's","Consent Order","COP-13-1836","01/15/2013","12/14/2013","Sediment",NA,38.8594300344005,-76.7248699516696
"626",109668,"Ignacio Rodriguez","1290 Turkey Point Road","Edgewater,MD,21037","Anne Arundel","Consent Order","COP-19-2583","03/19/2019",NA,"Tidal Wetlands",NA,38.9083099827848,-76.4949759733768
"627",110684,"MD DNR-Patapsco Valley State Park Hilton Area - Waterline Replacement","1101 Hilton Ave, 39.248613 -76.744142","Catonsville,MD,21228","Baltimore","Penalty Settlement","C-15-2257","05/13/2015","06/29/2015","Sediment",NA,39.2475339862058,-76.7425929836916
