"","Site.No","Site.Name","Street.Address","County","City..State.Zip","Type"
"4977",3947,"Perdue Farms Inc - Showell","10048 Pitts Road","Worcester","Showell,MD,21862-0158","Compliance"
"4978",157658,"TM 24 P 92 & 234 Demolition Grading Plan","806-810 Solomons Island Road","Calvert","Prince Frederick,MD,20678","Compliance"
"4979",28845,"New Carrollton Public Works","6318 Westbrook Dr.","Prince George's","New Carrollton,MD,20784","Compliance"
"4980",155100,"Nestle Waters North America Home and Office Distribution","9921 Business Pkwy","Prince George's","Lanham,MD,20706","Compliance"
"4981",138355,"John Schedel","649 Lakeland Rd S","Anne Arundel","Severna Park,MD,21146","Compliance"
"4982",145613,"2066 Kurtz Ave.","2066 Kurtz Avenue","Anne Arundel","Pasadena,MD,21122","Compliance"
"4983",153148,"Nam Nguyen","40508 Waterview*","St. Mary's","Mechanicsville,MD,20659","Compliance"
"4984",23157,"Capitol Cake Company","1304 Laurens St","Baltimore City","Baltimore,MD,21217","Compliance"
"4985",93189,"Dunlap, John M/pier And Boatlift","40514 Waterview Dr","St. Mary's","Mechanicsville,MD,20659","Compliance"
"4986",158746,"2505 West Lexington St","2505 West Lexington St","Baltimore City","Baltimore City,MD,21223","Compliance"
"4987",149868,"Andrews Federal Campus","Ames St","Prince George's","Suitland,MD,20746","Compliance"
"4988",151517,"Town of Middletown-Remsberg Park","Remsberg Park, Holter Rd","Frederick","Middletown,MD,21769","Compliance"
"4989",153624,"Francesca Riddy-O'Dowd","5021 Rippling Rd","Dorchester","Cambridge,MD,21613","Compliance"
"4990",138292,"Town of Middletown-Walnut Street","Walnut Street/Bidle Road","Frederick","Middletown,MD,21769","Compliance"
"4991",80079,"Town Of Middletown-Wiles Branch Park","31 West Main Street","Frederick","Middletown,MD,21769","Compliance"
"4992",158744,"11 W Friendship Road","La Bella Italia, 11 W Friendship Road","Anne Arundel","Friendship,MD,20758","Compliance"
"4993",23330,"Curtis Creek Processing Facility & Transfer Station","23 Stahl Point Rd","Anne Arundel","Curtis Bay,MD,21226","Compliance"
"4994",158896,"Lynch Cove/PAF 18-2126","7900 Block through 8200 Block of Shore Road","Baltimore","Dundalk,MD,21222","Compliance"
"4995",150347,"Building 406 Water Intrusion","Building 406","St. Mary's","Patuxent River,MD,20670","Compliance"
"4996",152117,"Charles Woodward","Lot 1, Wrights Wharf Rd","Dorchester","Hurlock,MD,21643","Compliance"
"4997",153483,"MD SHA-Project No PG070A21-Site 5","ramp from 495 EB to MD 5 S","Prince George's","Camp Springs,MD,20748","Compliance"
"4998",146718,"Veterans Drive Extension at Navy Way","39.446722 -77.423859","Frederick","Frederick,MD,21702","Compliance"
"4999",157948,"Calvert Regional Park",", Brick Meeting House Rd.","Cecil","Rising Sun,MD,21911","Compliance"
"5000",158850,"2543 Mountain Road","Chesapeake Car Care Inc, 2543 Mountain Road","Anne Arundel","Pasadena,MD,21122","Compliance"
"5001",154898,"SMITH FIELD PARK WATER & SEWER","20741 HERMANVILLE RD","St. Mary's","Lexington Park,MD,20650","Compliance"
"5002",22174,"Havre De Grace WWTP","1 Jerry Foster Way","Harford","Havre De Grace,MD,21078","Compliance"
"5003",33293,"E. Gregory Howard","13804 Mack Rd","Baltimore","Riesterstown,MD,21136","Compliance"
"5004",158897,"Alleged dumping from moored boat/PAF 18-2115","Across from 981 Seneca Park Road","Baltimore","Middle River,MD,21220","Compliance"
"5005",153760,"Many Blessings Farm LLC Waterfowl Impoundment","27929 Villa Rd","Talbot","Easton,MD,21601","Compliance"
"5006",158851,"8253 & 8257 Baltimore Annapolis Blvd","Louis Powell, 8253 & 8257 Baltimore Annapolis Blvd","Anne Arundel","Pasadena,MD,21122","Compliance"
"5007",158552,"Charm City Meadworks","407 E Preston St, Ste B","Baltimore City","Baltimore,MD,21202","Compliance"
"5008",64025,"Rossville Coal Ash Structural Fill Site","9201 Yellow Brick Rd","Baltimore","Rosedale,MD,21237","Compliance"
"5009",159366,"Cynthia Rickman","NW side of Forest Landing Road","Talbot","Easton,MD,21601","Compliance"
"5010",148603,"James R Johnston","Jane Low Rd, Lot 1","Talbot","Wittman,MD,21676","Compliance"
"5011",158895,"Concrete discharge to Jones Falls between Ruxton Rd and I-83","Bridge located on Falls Rd between Ruxton Rd and I-83","Baltimore","Brooklandville,MD,21022","Compliance"
"5012",149854,"Transco-Williams Gas Pipeline0Hollow Crest Drive","north of Hollow Crest Drive","Montgomery","Brookeville,MD,20833","Compliance"
"5013",152240,"MDTA-Centreville Line Track Erosion Repairs","near Ruthsburg Rd, 39.036680,-76.055002","Queen Anne's","Centreville,MD,21617","Compliance"
"5014",140330,"BGE-Red Lion Road","adjacent to 11308 Red Lion Road","Baltimore","White Marsh,MD,21162","Compliance"
"5015",31664,"Vane Brothers","2100 Frankfurst Ave","Baltimore City","Curtis Bay,MD,21226","Compliance"
"5016",136625,"Maryland Transportation Authority-Chestertown","NW of intersect of Morgnec Rd (MD291) and Washington Ave (MD 213)","Kent","Chestertown,MD,21620","Compliance"
"5017",151012,"Roman Coale","3810 West Haven Court","Dorchester","East New Market,MD,21631","Compliance"
"5018",155785,"Nellie Katherine B. Kurzman Trustee FHO","14560 Flora Corner Road","St. Mary's","Mechanicsville,MD,20659","Compliance"
"5019",158186,"Roman and Christine Coale Lot 10",", 3817 West Haven Ct","Dorchester","East New Market,MD,21631","Compliance"
"5020",154098,"Runway 10 Retaining Wall repairs","Runway 10, 39.174875,-76.693174","Anne Arundel","BWI Airport,MD,21240","Compliance"
"5021",139712,"BGE-White Marsh","Behind 8481 Cordon Way, West from I 95 and White Marsh Blvd on left side of White March Blvd","Baltimore","Baltimore,MD,21236","Compliance"
"5022",148536,"TA DPW-Old Orchard Road","Old Orchard Rd, 2. mi from Windy Hill Rd","Talbot","Easton,MD,21601","Compliance"
"5023",158817,"William Sandy","1830 Budds Ferry Rd","Charles","Indian Head,MD,20640","Compliance"
"5024",78839,"Martha Rosalind Stainton","20686 Wilkins Ave, (Formerly known as 20678 Wilkins Ave)","Kent","Rock Hall,MD,21661","Compliance"
"5025",154147,"CRCF and BMF Pavement rehabilitation","near Valley Rd, 39.177336, -76.704267","Anne Arundel","Hanover,MD,21076","Compliance"
"5026",135455,"Timothy Beckwith-Lot 4","Lot 4 Breton Beach Road, Brown Minor Subdivision","St. Mary's","Leonardtown,MD,20650","Compliance"
"5027",127123,"BGE-Mt Washington Substation","6100 block of Falls Rd","Baltimore City","Mount Washington,MD,21209","Compliance"
"5028",158853,"Stemmers Run Boat Ramp PAF 18-4086","Stemmers Run Boat Ramp","Cecil","Earleville,MD,21919","Compliance"
"5029",150037,"Williams Gas Pipeline-Transco-Owens Road","Owens Road","Montgomery","Brookeville,MD,20833","Compliance"
"5030",90267,"Penguin Random House Inc.","Bennett Cerf Dr & RT 27","Carroll","Westminster,MD,21157","Compliance"
"5031",72981,"Bge/pipeline Integrity Management","BA,BC,AA,HA,HO,CL & FR COUNTIES","Statewide","Statewide,MD","Compliance"
"5032",109899,"C Scott Lenhart","15492 Woodland Point Rd, Lots 6 and 7","Charles","Newburg,MD,20664","Compliance"
"5033",132174,"Farms at Hunting Creek IIB","Huntsman Road","Calvert","Huntingtown,MD,20639","Compliance"
"5034",135399,"Finley Construction, Inc-James Finley","15581 Potomac River Drive","Charles","Cobb Island,MD,20625","Compliance"
"5035",158109,"Temple Hill Motel Demolition",", Kay Ave","Wicomico","Salisbury,MD,21801","Compliance"
"5036",33560,"Vince's Auto Parts Inc","11237 Philadelphia Rd","Baltimore","White Marsh,MD,21162","Compliance"
"5037",159017,"248 Randalia Road","248 Randalia Road","Cecil","Chesapeake City,MD,21915","Compliance"
"5038",159247,"10155 Sweet as Sugar Lane, Berlin MD 21811","10115 Sweet as Sugar Ln","Worcester","Berlin,MD,21811","Compliance"
"5039",155784,"James Harold Burroughs FHO","11055 Harvest Lane","St. Mary's","Mechanicsville,MD,20659","Compliance"
"5040",33342,"Bestway Recycling Center","6599 Washington Blvd","Howard","Elkridge,MD,21075","Compliance"
"5041",158816,"Sewer Overflow at Glendale Apartments Off Good Luck Road","9901 Good Luck Road","Prince George's","Lanham,MD,20706","Compliance"
"5042",29716,"Royal Farms #283","1033 Salisbury Boulevard, South","Wicomico","Salisbury,MD,21801","Compliance"
"5043",34497,"Henrys Auto Parts","781 MD Rte 3 N","Anne Arundel","Gambrills,MD,21054","Compliance"
"5044",158814,"46060 Wilson Ct","46060 Wilson Ct","St. Mary's","Lexington Park,MD,20653","Compliance"
"5045",157142,"City of Cambridge-Cannery Park Rails to Trails","Washington Street","Dorchester","Cambridge,MD,21613","Compliance"
"5046",157006,"Laurel Glen Shopping Center Addition","45315 Alton Lane","St. Mary's","California,MD,20619","Compliance"
"5047",158815,"Deer Crossing, Myrtle Pt rd, Clearbrook Ln","Deer Crossing, Myrtle Pt, Clearbrok","St. Mary's","California,MD,20619","Compliance"
"5048",156854,"Wheaton Public Improvements","11219 Grandview Ave","Montgomery","Wheaton,MD,20902","Compliance"
"5049",1784,"WEBSTER OUTLYING FIELD - NAVAL AIR STATION COMPLEX","17598 Webster Field Rd, Bldg 8115","St. Mary's","Saint Inigoes,MD,20684","Compliance"
"5050",152782,"Harper's Creek Shoreline Stabilization Reach F1","Harper Creek, 38.301063,-76.405030","St. Mary's","Patuxent River,MD,20670","Compliance"
"5051",99015,"Biltrite at Williams Run Inc","1255 PONDS WOOD RD","Calvert","Huntingtown,MD,20639","Compliance"
"5052",158334,"MD 32 - MD 108 to North of Linden Church Road","MD 32 - MD 108 to N of Linden Church Rd, 39.222698, -76.969902","Howard","Clarksville,MD,21029","Compliance"
"5053",148275,"NAVFAC Washington-Patuxent NAS-Golf Course","Patuxent NAS Golf Course","St. Mary's","Patuxent River,MD,20670","Compliance"
"5054",150036,"Williams Gas Pipeline-Transco","St Albert Drive","Montgomery","Brookeville,MD,20833","Compliance"
"5055",154202,"APG Solar Development - Bayside","near Bay Ct, 39.260301, -76.367294","Harford","Aberdeen Proving Ground,MD,21005","Compliance"
"5056",93270,"Campbell, Tim/pier, Pilings And Boatlift","9107 Chesapeake Ave","Baltimore","Millers Island,MD,21219","Compliance"
"5057",154203,"APG Solar Development - New Chesapeake","near Shandy Hall Rd, 39.494116 -76.147917","Harford","Aberdeen Proving Ground,MD,21005","Compliance"
"5058",157807,"Unlimbited Tree Service, Inc","538 Jones Road","Anne Arundel","Severn,MD,21144","Compliance"
"5059",158952,"Ben Nguyen","1522 S Salisbury Blvd","Wicomico","Salisbury,MD,21802","Compliance"
"5060",149926,"BA DEPS-Lower Gunpowder River at Proctor Lane","Betwn Pinedale Dr and Klausmier Rd","Baltimore","Nottingham,MD,21236","Compliance"
"5061",153392,"WRAIR Building 511","503 Robert Grant Ave, 39.004857,-77.054412","Montgomery","Silver Spring,MD,20910","Compliance"
"5062",3061,"W. L. Gore & Associates, Inc - Fair Hill","101 Lewisville Rd","Cecil","Elkton,MD,21921","Compliance"
"5063",151621,"Mark Burton","6309 Suicide Bridge Road","Dorchester","Hurlock,MD,21643","Compliance"
"5064",23339,"Wirtz & Daughters, Inc","6275 Days Cove Rd","Baltimore","White Marsh,MD,21162","Compliance"
"5065",69860,"Keith and Deborah Theodore","5431 Ross Neck Road","Dorchester","Cambridge,MD,21613","Compliance"
"5066",148559,"Heritage Manor Phase 1","Heritage Manor Subdivision East","St. Mary's","Saint Inigoes,MD,20684","Compliance"
"5067",158977,"SSO 3500 Parkdale Ave","3500 Parkdale Ave","Baltimore City","Baltimore City,MD,21211","Compliance"
"5068",151558,"BGE-Sharon Road","Sharon Road","Harford","Jarrettsville,MD,21047","Compliance"
"5069",158439,"Darren Ferrell Horse Track",", Taylor Rd and Waller Rd","Wicomico","Delmar,MD,21875","Compliance"
"5070",149044,"Back Creek II, LLC-Dredging","TILGHMAN ROAD","Talbot","Tilghman,MD,21671","Compliance"
"5071",141487,"WA Engineering and Construction-Garis Shop Road","Garis Shop Rd; MD 65 to Wagaman Rd which becomes Garis Shop Rd","Washington","Hagerstown,MD,21740","Compliance"
"5072",1455,"Teledyne Energy Systems, Inc","10707 Gilroy Rd","Baltimore","Hunt Valley,MD,21031","Compliance"
"5073",64739,"MES Poplar Island Landbase Improvements","21548 Chicken Point Rd","Talbot","Tilghman,MD,21671","Compliance"
"5074",159018,"Kordell Wilen","640 Wheatley Rd","Cecil","North East,MD,21901","Compliance"
"5075",158899,"Chicamuxen Creek/fish kill","6417 Chicamuxen Road, Chicamuxen WMA","Charles","Indian Head,MD,20640","Compliance"
"5076",145375,"BGE-Trimble Road","900 block of Trimble Road","Harford","Joppa,MD,21085","Compliance"
"5077",128232,"City of Frederick WWTP","100 Treatment Plant Road","Frederick","Frederick,MD,21701","Compliance"
"5078",20578,"George G. Ruppersberger & Sons, Inc.","2639 Pennsylvania Ave","Baltimore City","Baltimore,MD,21217","Compliance"
"5079",23523,"University Of Maryland - Chesapeake Biological Laboratory","Farren Avenue","Calvert","Solomons,MD,20688","Compliance"
"5080",151950,"Ruesch Residence","7879 Follys Cove Road","Talbot","Saint Michaels,MD,21663","Compliance"
"5081",23568,"Trappe WWTP","4110 Hennissee Lane","Talbot","Trappe,MD,21673","Compliance"
"5082",136152,"Jackie B. Pratt","36260 Notley Manor La","St. Mary's","Chaptico,MD,20621","Compliance"
"5083",32297,"Collington Station Recreation","375 Jennings Mill Dr","Prince George's","Bowie,MD,20721","Compliance"
"5084",157221,"Habitat for Humainty Home Site","Brooks Lane, Brooks Lane","Talbot","Saint Michaels,MD,21663","Compliance"
"5085",153759,"Shiphead Farm Shallow Water Area #3","27389 St. Michaels Rd.","Talbot","Easton,MD,21601","Compliance"
"5086",158976,"345 Ridge Road","345 Ridge Road","Anne Arundel","Pasadena,MD,21122","Compliance"
"5087",139400,"BGE-Shannon and Edgewood Roads","Shannon and Edgewood Roads","Harford","Bel Air,MD,21014","Compliance"
"5088",109921,"Francis Scott Key Bridge Facility Fuel Tank Replacements","39.230219 -76.511751","Baltimore","Baltimore,MD,21222","Compliance"
"5089",144561,"BGE-Route 40, Aberdeen","Route 40 to Cranberry Run","Harford","Aberdeen,MD,21001","Compliance"
"5090",153183,"Layfield Woods Subdivision","31810 Melson Rd","Wicomico","Delmar,MD,21875","Compliance"
"5091",91182,"Eve Love","26125 Captains Point Lane","St. Mary's","Hollywood,MD,20636","Compliance"
"5092",147327,"Agricopia Sections 4 & 5 - Lots 379-380","1040 & 1042 Llano Drive","Charles","La Plata,MD,20646","Compliance"
"5093",144562,"BGE-Route 7, Aberdeen","Rt 7 (Old Phila Rd)","Harford","Aberdeen,MD,21001","Compliance"
"5094",152176,"Mark McInturff","22877 Ball Creek Road","Talbot","Neavitt,MD,21652","Compliance"
"5095",155648,"Brian Wasel","23360 Rolling Court","St. Mary's","Lexington Park,MD,20653","Compliance"
"5096",159049,"AMTRACK Inspection Track Project - PAF# 18-2148","2700 Eastern Boulevard","Baltimore","Middle River,MD,21220","Compliance"
"5097",23232,"Kenilworth Foreign Car Parts","5601 Sheriff Rd","Prince George's","Capitol Heights,MD,20743","Compliance"
"5098",134025,"Kokosing Clean Earth Fill Site","Parkland Drive","Allegany","McCoole,MD,21562","Compliance"
"5099",134061,"Fred Newman","955 Bowleys Quarters Rd","Baltimore","Middle River,MD,21220","Compliance"
"5100",64831,"STERLING HOUSE","WASHINGTON AVE","St. Mary's","Leonardtown,MD,20650","Compliance"
"5101",151442,"Lexington Park Christian School","20738 Soaring Eagle Way","St. Mary's","Callaway,MD,20620","Compliance"
"5102",146119,"Brighton Dam Office Building","39.191866 -77.019895","Montgomery","Brookeville,MD,20833","Compliance"
"5103",153885,"GA DPW-Puzzley Run WTP","Keysers Ridge, 1.5 mi e of US 219/US 40 intersect","Garrett","Keyser's Ridge,MD,21536","Compliance"
"5104",2330,"Kaydon Ring & Seal, Inc","1600 Wicomico St","Baltimore City","Baltimore,MD,21230","Compliance"
"5105",154778,"SSA Grounds Shop Parking Expansion","near Hamilton Rd, 39.305643 -76.720218","Baltimore","Woodlawn,MD,21207","Compliance"
"5106",158951,"End of Rock Hall Rd Potomac Edison First Energy Property","End of Rock Hall Rd","Frederick","Point Of Rocks,MD,21777","Compliance"
"5107",159070,"SSO on Amtrak property near E. Preston St & Guilford Ave","E Preston Street & Guilford Avenue","Baltimore City","Baltimore City,MD,21202","Compliance"
"5108",159112,"Jonathan Kielek","3003 Charles Street","Harford","Fallston,MD,21047-1345","Compliance"
"5109",159071,"Chinquapin Run Park at Northwood Drive & Cameron Rd","Northwood Drive & Cameron Rd","Baltimore City","Baltimore City,MD,21212","Compliance"
"5110",132871,"Singerly Fire Company","300 Newark Avenue","Cecil","Elkton,MD,21921","Compliance"
"5111",151612,"HO DPW-Heatherland Court","Heatherland Court","Howard","Ellicott City,MD,21043","Compliance"
"5112",155097,"Freddy Massey/Hidden Hill Farm","6773 Bent Pine road","Wicomico","Willards,MD,21874","Compliance"
"5113",159006,"Royal Farms #267",", 1825 Perryville Rd.","Cecil","Perryville,MD,21903","Compliance"
"5114",153184,"Home 2 Suites","6701 Coastal Hwy","Worcester","Ocean City,MD,21842","Compliance"
"5115",159111,"RCT Land Properties","22433 Hillsboro Road","Caroline","Hillsboro,MD,21641","Compliance"
"5116",153663,"Additional Wells","Catactin Mountain National Park, 39.648109,-77.466009","Frederick","Sabillasville,MD,21780","Compliance"
"5117",159033,"Enterprise Truck Rental Facility","783 Elkridge Landing Road","Anne Arundel","Linthicum Heights,MD,21090","Compliance"
"5118",158145,"CL DPW-Bert Koontz Road 0.65 Mile","Bert Koontz Road , 0.65 Mile from Stone Road","Carroll","Taneytown,MD,21787","Compliance"
"5119",10514,"International Tower Building","857 Elkridge Landing Rd","Anne Arundel","Linthicum,MD,21090","Compliance"
"5120",154780,"Hammerman Area Green Wall & Restoration","Gunpowder Falls State Park, 39.364435, -76.340073","Baltimore","Middle River,MD,21220","Compliance"
"5121",150641,"NLP of Maryland LLC-North Camp Ridge","North Camp Rd","Garrett","Mc Henry,MD,21541","Compliance"
"5122",158071,"CL DPW-Bert Koontz Road","Bert Koontz Rd, 160 feet west from Bert Koontz Road and Stone Road intersection","Carroll","Taneytown,MD,21787","Compliance"
"5123",158144,"CL DPW-Bert Koontz Road 1.8 Mile","Bert Koontz Rd, 1.79 miles east of Kump Station Rd","Carroll","Taneytown,MD,21787","Compliance"
"5124",151108,"MD SHA-Patapsco Valley State Park-Avalon","Gun Road (1,500 west of), Avalon Recreational Trail","Howard","Elkridge,MD,21228","Compliance"
"5125",159367,"Charles Taylor","200 Sportsman Neck Road","Queen Anne's","Queenstown,MD,21658","Compliance"
"5126",158533,"University of Martyland, College Park","7901 Regents Dr, 1101 Main Administration Bldg","Prince George's","College Park,MD,20742","Compliance"
"5127",21892,"Prince Frederick WWTP #1","455 Sugar Notch Rd","Calvert","Barstow,MD,20610","Compliance"
"5128",157952,"WA DPW-Keedysville Rd Bridge over Antietam Creek","nearest to 18864 Keedysville Rd","Washington","Keedysville,MD,21756","Compliance"
"5129",21073,"Grasonville Elementary School","5435 Main St","Queen Anne's","Grasonville,MD,21638","Compliance"
"5130",157852,"Pullet Farm","680 Wards Hill Rd","Cecil","Cecilton,MD,21912","Compliance"
"5131",159034,"SSO 3404 Glen Ave Baltimore","3404 Glen Ave","Baltimore City","Baltimore City,MD,21215","Compliance"
"5132",159109,"Dinsmore Property Broad Run Rd","5842 Broad Run Rd","Frederick","Jefferson,MD,21755","Compliance"
"5133",159640,"Mitch Ross","26704 Temple Road","Caroline","Marydel,MD,21649","Compliance"
"5134",10883,"Craftsman Press","2300 Craftsman Circle","Prince George's","Cheverly,MD,20781-1133","Compliance"
"5135",23694,"Prince Frederick WWTP No. 2","655 Tobacco Ridge Rd","Calvert","Prince Frederick,MD,20678","Compliance"
"5136",158965,"Columbia Gas Country Club Road Gas Line","Country Club Road between Willowbrook Road and the Finan Center","Allegany","Cumberland,MD,21502","Compliance"
"5137",159032,"DryRunBloodComplaint, PAF18-1036","1, Valley Road","Allegany","Cumberland,MD,21502","Compliance"
"5138",2073,"OPTA Minerals Baltimore","4500 E Fayette St","Baltimore City","Baltimore,MD,21224","Compliance"
"5139",146065,"Patapsco Avenue Station Park-N-Ride Pavement Repairs","39.242162 -76.630250","Baltimore","Halethorpe,MD,21227","Compliance"
"5140",153469,"Elizabeth Lanhardt","24524 Half Pone Point","St. Mary's","Hollywood,MD,20636","Compliance"
"5141",149783,"MD SHA-Project No SM210A21-Soil Borings for MD 5","MD 5 from MD 246 to MD 471, 38.237053, -76.497839","St. Mary's","Great Mills,MD,20653","Compliance"
"5142",37965,"McLean Contracting Company Baltimore Yard","2001 Benhill Avenue","Baltimore City","Baltimore,MD,21226","Compliance"
"5143",66060,"11319 Piscataway Road","11319 PISCATAWAY RD","Prince George's","Clinton,MD,20735","Compliance"
"5144",159329,"Hunter's Sale Barn","2084 Jacob Tome Memorial Hwy","Cecil","Port Deposit,MD,21904","Compliance"
"5145",158141,"Farmers and Planters Co","308 Mill St, 308 Mill St.","Wicomico","Salisbury,MD,21801","Compliance"
"5146",156203,"Walter F. Russell Jr. FHO",", 24111 Coles Adventure Ln.","St. Mary's","Clements,MD,20624","Compliance"
"5147",134263,"Columbia Association-Lake Elkhorn-Bay Trust Fund Project","Btwn Oakland Mills Rd and Mendanhall Road","Howard","Columbia,MD,21044","Compliance"
"5148",159113,"PAF 18-2153/203 Kennard Avenue","203 Kennard Avenue","Harford","Edgewood,MD,21040","Compliance"
"5149",154914,"STEVEN NOURSE","27661 PERSIMMON LANE","St. Mary's","Mechanicsville,MD,20659","Compliance"
"5150",159072,"1528 Norman Avenue Lutherville Fire Department Lot Expansion","1528 Norman Avenue","Baltimore","Lutherville Timonium,MD,21093","Compliance"
"5151",155753,"Boylston FHO","27651 Persimmon Lane, 27651 Persimmon Lane","St. Mary's","Mechanicsville,MD,20659","Compliance"
"5152",159248,"5109 Atlantic Ave, OCMD","5109 Atlantic Ave, 5109 Atlantic Ave","Worcester","Ocean City,MD,21842","Compliance"
"5153",152826,"Kevin McConville","840 Hills Point Rd","Dorchester","Cambridge,MD,21613","Compliance"
"5154",153261,"Office Building Addition And Site Improvements, Wellington Wildlife Management Area","32733 Dublin Rd","Somerset","Princess Anne,MD,21853","Compliance"
"5155",104002,"Md Sha/bridge No 6031/md 97 Over Big","BRIDGE NO 6031, RT 97 OVER BIG PIPE CRK","Carroll","Westminster,MD","Compliance"
"5156",151021,"Chase Meadows","Mackenzie Court","Calvert","Huntingtown,MD,20639","Compliance"
"5157",37770,"Montgomery County Government-Kensington","4935 Nicholson Ct","Montgomery","Kensington,MD,20895","Compliance"
"5158",143585,"CH Government-Acton Hamilton","so of Timberbrook Dr, betwn Shawnee Lane and Elder Court","Charles","Saint Charles,MD,20602","Compliance"
"5159",150000,"Kelly's Tree Service Miantenance Building & Supply House","125 Prospect Dr","Calvert","Sunderland,MD,20689","Compliance"
"5160",159094,"Strohecker Industrial Flex-Space Units, Lot 3, Channeyville South","Industrial Dr.","Calvert","Owings,MD,20736","Compliance"
"5161",159073,"PAF 3838 Harrisville Rd-Dry stream bed","3838 Harrisville Rd","Frederick","Mount Airy,MD,21771","Compliance"
"5162",5820,"Montebello Filtration Plant","3901-4001 Hillen Rd","Baltimore City","Baltimore,MD,21218","Compliance"
"5163",26973,"Mears Great Oak Landing","22170 Great Oak Landing Road","Kent","Chestertown,MD,21623","Compliance"
"5164",159074,"PAF 18- 4047 Ridge Rd. Dry Stream","4047 Ridge Rd","Carroll","Westminster,MD,21157","Compliance"
"5165",155613,"US Navy, NSF Indian Head-West Noble Road","West Noble Rd, 38.57.11/-77.18.86","Charles","Indian Head,MD,20640","Compliance"
"5166",67699,"Westway Feed Products LLC","1075 Hull St","Baltimore City","Baltimore,MD,21230","Compliance"
"5167",158707,"Michael's Crafts",", 28614 Marlboro Ave","Talbot","Easton,MD,21601","Compliance"
"5168",115426,"Wise, Frances/lot Fill","29796 DEAL ISLAND RD","Somerset","Princess Anne,MD,21853","Compliance"
"5169",151841,"Tractor Supply Company 2024","3150 N Solomons Island Rd","Calvert","Huntingtown,MD,20639","Compliance"
"5170",153766,"Salvatore & Tamara Marge","22703 Emilys Lane","Talbot","Wittman,MD,21676","Compliance"
"5171",20441,"Bates Trucking Company","4305 48th St","Prince George's","Bladensburg,MD,20710","Compliance"
"5172",158396,"Calvert County Animal Shelter",", 5055 Hallowing Point Rd","Calvert","Prince Frederick,MD,20678","Compliance"
"5173",2460,"Griffith Energy Services, Inc. - Cheverly","2510 Schuster Dr","Prince George's","Cheverly,MD,20781","Compliance"
"5174",159378,"Vacant lot across from 2609 Bauernschmidt Drive","Vacant lot across from 2609 Bauernschmidt Drive","Baltimore","Essex,MD,21221","Compliance"
"5175",141026,"Celeste Industries Corporation","8007 Industrial Park Rd","Talbot","Easton,MD,21601","Compliance"
"5176",146504,"Fuchs North America - Hampstead","3800 Hampstead Mexico Rd","Carroll","Hampstead,MD,21074","Compliance"
"5177",33163,"Poor Boys Used Auto","216 Earls Rd","Baltimore","Middle River,MD,21220","Compliance"
"5178",7053,"SHA - Westminster Shop","150 Wyndtryst Dr","Carroll","Westminster,MD,21157","Compliance"
"5179",159095,"No Thyme To Cook & Steamers","14624 S. Solomons Island rd.","Calvert","Solomons,MD,20688","Compliance"
"5180",141851,"FR DUSWM-Monocacy Farm and Bowmans Farm","Monocacy Farm and Bowmans Farm","Frederick","Frederick,MD,21701","Compliance"
"5181",73557,"Jane Walker-Tucker","41760 Dos Santos Way","St. Mary's","Mechanicsville,MD,20659","Compliance"
"5182",153719,"Northeast Elementary School","4812 E Joppa Road","Baltimore","Perry Hall,MD,21057","Compliance"
"5183",159368,"David Putman","11068 Forest View View Lane","Talbot","Easton,MD,21601","Compliance"
"5184",159110,"James Wright Jr.","10507 River Rd","Caroline","Denton,MD,21629","Compliance"
"5185",102362,"Brant Court Properties Lp/retirement","6 UNIMPROVED LOTS AT END OF BRANT COURT","Talbot","Easton,MD,21601","Compliance"
"5186",159379,"End of Lynch Road @ Cul-De-Sac within The Village of Bear Creek Community","End of Lynch Road near The Village of Bear Creek Community","Baltimore","Dundalk,MD,21222","Compliance"
"5187",154009,"Dan's Mountain New Wells","near Steel Rd, 39.555608,-78.947663","Allegany","Lonaconing,MD,21539","Compliance"
"5188",19064,"Elk Neck State Park","4395 Turkey Point Road","Cecil","North East,MD,21901","Compliance"
"5189",159169,"10715 Pot Spring Rd Structure in Stream","Behind 10715 Pot Spring Rd., 39.474833, -76.593551","Baltimore","Cockeysville,MD,21030-3019","Compliance"
"5190",159096,"PAF 18-2160 / Verizone store, Gateway Shopping Center, Dunkirk","Gateway Dr.","Calvert","Dunkirk,MD,20754","Compliance"
"5191",153499,"MD SHA-Project No AL266A21-MD 935","MD 935 at South Railroad St","Allegany","Barton,MD,21521","Compliance"
"5192",147109,"MD Air National Guard-175th Network Warfare Squadron Facility (MANG) NWS Facility","39.105099 -76.749256","Anne Arundel","Fort George G. Meade,MD,20755","Compliance"
"5193",147476,"Aviation Technology Park","44174 Airport Road","St. Mary's","California,MD,20619","Compliance"
"5194",32961,"The Dirt Express Company","2036 Hollins Ferry Road","Baltimore City","Baltimore,MD,21230","Compliance"
"5195",159369,"Cove Creek Club, lot 57","1009 Penny Dr.","Queen Anne's","Stevensville,MD,21666","Compliance"
"5196",38955,"Winters Run Belair Intake","1004-1112 Baltimore Pike","Harford","Bel Air,MD,21014","Compliance"
"5197",159330,"Basin Road","Basin Road","Cecil","Earleville,MD,21919","Compliance"
"5198",159370,"Aldan Miller","4817 Main St.","Queen Anne's","Grasonville,MD,21638","Compliance"
"5199",143131,"Scott and Karen Adley","18926 Russell Road","St. Mary's","Valley Lee,MD,20692","Compliance"
